issuer,validity_start,validity_end,sha256_fingerprint,cert_length,public_key_length,secure_connection,encryption,website,category
Entrust Certification Authority - L1M,17-Jun-24,14-Jun-25,44:5A:C2:56:29:E5:F4:57:6A:84:E6:87:24:49:7C:53:FF:26:A0:C6:86:CE:3D:3F:9D:EB:0F:FC:CA:35:0C:99,3194,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",bmo.com,Banking
DigiCert SHA2 Secure Server CA,03-Jul-24,16-Jul-25,65:B4:E5:55:50:49:2D:55:D6:48:67:55:4A:80:F2:1F:FA:E9:93:56:99:1B:86:C0:90:EF:B6:8B:A3:06:4B:26,3003,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",cibc.com,Banking
Cloudflare Inc ECC CA-3,16-Feb-24,31-Dec-24,A1:02:F4:22:0C:A1:AB:BF:E1:45:CF:90:46:78:26:A1:B9:C2:10:16:4F:F8:B9:8F:DA:B4:4A:A2:8D:BC:80:FF,1303,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",medium.com,Blogging/Publishing
Sectigo ECC Domain Validation Secure Server CA,05-Dec-23,04-Jan-25,2A:5B:BC:F8:44:38:08:E5:77:2B:D0:41:9E:67:B4:4F:5C:04:48:CB:77:08:8E:EC:54:6C:B0:EC:71:CA:8B:AC,1198,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",wordpress.com,Blogging/Publishing
WR2,30-Jul-24,22-Oct-24,6E:10:5F:32:73:31:79:07:22:44:51:9D:72:79:29:3C:9B:CC:E2:F1:0C:3B:AC:78:E9:6D:BC:0B:3A:A2:1E:0D,1155,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",blogger.com,Blogging/Publishing
E5,02-Jul-24,30-Sep-24,33:D9:92:1C:8D:2A:35:A6:B1:02:CD:39:03:27:DE:A8:55:6B:55:53:7C:23:AC:65:05:92:BE:34:A0:D5:0A:C1,904,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",weebly.com,Blogging/Publishing
DigiCert Global G2 TLS RSA SHA256 2020 CA1,09-Feb-24,28-Feb-25,24:EF:4F:3B:2E:7C:7F:14:F5:9C:03:B1:5A:90:69:26:FC:DC:03:3E:E4:26:28:E3:2C:E0:3E:80:AF:0E:40:B0,2038,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",squarespace.com,Blogging/Publishing
Sectigo ECC Domain Validation Secure Server CA,15-Nov-23,15-Dec-24,DB:23:D7:E1:39:84:4C:74:E1:77:7E:88:C7:C7:AF:13:F2:B2:BA:12:03:43:62:6B:89:0C:DA:D2:83:F7:43:37,1187,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",tumblr.com,Blogging/Publishing
E6,05-Jul-24,03-Oct-24,DE:60:03:F2:A7:6B:FA:6E:1A:76:D4:D9:86:D3:EA:C6:BE:0D:7E:6D:A0:A3:66:06:94:63:23:7B:93:9D:43:5C,902,256,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",ghost.org,Blogging/Publishing
R11,09-Jul-24,07-Oct-24,3B:7E:D4:7A:64:D0:85:DB:83:4A:D1:E0:3D:E6:FE:8E:38:A0:76:36:6F:FD:F0:68:E1:E7:A4:52:20:8D:75:F9,1318,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",wix.com,Blogging/Publishing
