issuer,validity_start,validity_end,sha256_fingerprint,cert_length,public_key_length,secure_connection,encryption,error,website,category
WR2,30-Jul-24,22-Oct-24,B6:2E:E8:B5:47:5F:DD:E6:DB:AF:F9:EC:61:86:81:7B:CB:45:47:6C:93:6E:1C:B6:54:28:4A:94:EE:5E:66:A8,1729,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,googletagmanager.com,Content Servers
E6,09-Aug-24,07-Nov-24,59:5D:0E:21:8E:75:5E:F0:EF:4E:86:B9:CC:FA:DC:D7:84:BE:5C:DA:84:B4:C9:C9:12:CF:B4:A4:2B:14:72:B5,978,256,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,lencr.org,Information Technology
DigiCert TLS Hybrid ECC SHA384 2020 CA1,18-Oct-23,16-Oct-24,07:BC:DE:69:C0:24:AB:9A:25:91:B9:2F:B5:51:07:40:8E:92:7F:E7:75:CD:82:5E:7F:4B:4B:3E:AC:80:F0:26,2127,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,wikipedia.org,Education
WR2,30-Jul-24,22-Oct-24,58:0A:79:FF:B5:BE:A6:D2:A1:CD:F1:3C:A0:D2:3F:F0:36:0F:72:3D:21:F0:EB:BD:9D:BC:86:8E:2E:B5:68:36,1116,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,gmail.com,Webmail
WR2,30-Jul-24,22-Oct-24,06:5E:3B:66:39:0A:5D:3C:7C:E5:1F:27:34:24:42:60:64:53:B3:D9:8E:4D:4E:97:F5:B7:08:B5:9D:19:0A:0A,3600,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,android.com,Technology
E5,24-Jul-24,22-Oct-24,54:9D:4D:E1:E2:56:CF:62:EE:7F:7D:8C:76:10:8E:BF:1D:41:8E:04:15:DB:24:FA:B7:65:86:11:AE:C5:B1:8A,925,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,doubleverify.com,Business;Technology
E5,15-Aug-24,13-Nov-24,75:1C:D5:77:63:61:42:8A:94:D4:34:B9:B8:0D:44:27:07:28:8E:EB:67:65:70:C4:14:9A:04:15:90:66:1B:35,917,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,casalemedia.com,Advertisements
WR2,30-Jul-24,22-Oct-24,2C:B7:D0:13:D9:B3:65:4F:AF:C3:E4:C9:52:BB:2D:C4:71:CD:87:21:BD:12:CA:A2:C8:17:E6:BE:50:17:43:70,1136,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,crashlytics.com,Information Technology
WE1,29-Jul-24,27-Oct-24,3E:94:07:CF:89:96:D5:4B:12:24:1D:22:43:A9:D2:6F:B8:72:13:25:D1:8F:FC:0D:D5:9F:C4:7C:82:EA:E7:A2,919,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,signal.org,Communication
DigiCert SHA2 High Assurance Server CA,05-Jun-24,03-Sep-24,38:BD:A7:C4:10:03:0B:D7:2D:E4:DC:DE:A6:42:07:F1:E9:53:8F:3F:72:65:8B:F0:C6:C3:51:0F:5A:75:3B:F0,1625,256,TRUE,"('TLS_CHACHA20_POLY1305_SHA256', 'TLSv1.3', 256)",,whatsapp.com,Communication
